save_name,avg_recall,search_duration,total_duration
gpu_shared_mem-k100-query88,0.002386,6575,7115
gpu_eucdist_opt-k100-query88,0.002386,4619,5088
gpu_bloom_pq-k100-query88,0.039886,6335,6741
gpu_bloom_smmh-k100-query88,0.008977,3978,5229
cpu-k100-query89,0.039775,195272,0
gpu_non_opt-k100-query89,0.002247,7153,7761
gpu_shared_mem-k100-query89,0.002135,5565,6003
gpu_eucdist_opt-k100-query89,0.002135,4657,5062
gpu_bloom_pq-k100-query89,0.039775,6962,7430
gpu_bloom_smmh-k100-query89,0.013258,4437,5645
cpu-k100-query90,0.039444,194514,0
gpu_non_opt-k100-query90,0.002111,7428,7968
gpu_shared_mem-k100-query90,0.003000,6090,6539
gpu_eucdist_opt-k100-query90,0.002222,4812,5311
gpu_bloom_pq-k100-query90,0.039333,6720,7217
gpu_bloom_smmh-k100-query90,0.012778,4470,5727
cpu-k100-query91,0.039011,193345,0
gpu_non_opt-k100-query91,0.002747,7092,7634
gpu_shared_mem-k100-query91,0.001758,6060,6514
gpu_eucdist_opt-k100-query91,0.002857,5435,5893
gpu_bloom_pq-k100-query91,0.039011,6447,6852
gpu_bloom_smmh-k100-query91,0.010879,4132,5277
cpu-k100-query92,0.038913,190595,0
gpu_non_opt-k100-query92,0.001848,7345,7907
gpu_shared_mem-k100-query92,0.002500,5949,6454
gpu_eucdist_opt-k100-query92,0.001848,4639,5050
gpu_bloom_pq-k100-query92,0.038913,6519,6920
gpu_bloom_smmh-k100-query92,0.011522,4176,5355
cpu-k100-query93,0.038817,194905,0
gpu_non_opt-k100-query93,0.002581,7123,7684
gpu_shared_mem-k100-query93,0.001398,6021,6537
gpu_eucdist_opt-k100-query93,0.002581,5365,5820
gpu_bloom_pq-k100-query93,0.038710,6552,6987
gpu_bloom_smmh-k100-query93,0.010968,3914,5107
cpu-k100-query94,0.038617,205633,0
gpu_non_opt-k100-query94,0.001489,7732,8378
gpu_shared_mem-k100-query94,0.001596,6261,6808
gpu_eucdist_opt-k100-query94,0.001489,6322,6895
gpu_bloom_pq-k100-query94,0.038404,8975,9554
gpu_bloom_smmh-k100-query94,0.015319,4256,5524
cpu-k100-query95,0.039053,201041,0
gpu_non_opt-k100-query95,0.002632,7980,8518
gpu_shared_mem-k100-query95,0.002211,5237,5677
gpu_eucdist_opt-k100-query95,0.002632,4693,5121
gpu_bloom_pq-k100-query95,0.038842,6397,6804
gpu_bloom_smmh-k100-query95,0.013579,4996,6281
cpu-k100-query96,0.038646,202157,0
gpu_non_opt-k100-query96,0.001875,7180,7713
gpu_shared_mem-k100-query96,0.001771,5614,6059
gpu_eucdist_opt-k100-query96,0.001875,5007,5484
gpu_bloom_pq-k100-query96,0.038854,6649,7083
gpu_bloom_smmh-k100-query96,0.011562,4001,5161
cpu-k100-query97,0.038350,205133,0
gpu_non_opt-k100-query97,0.001649,7253,7783
gpu_shared_mem-k100-query97,0.001237,6346,6793
gpu_eucdist_opt-k100-query97,0.001443,4674,5109
gpu_bloom_pq-k100-query97,0.038454,7570,8127
gpu_bloom_smmh-k100-query97,0.012165,4555,6008
cpu-k100-query98,0.038163,206106,0
gpu_non_opt-k100-query98,0.001429,8007,8584
gpu_shared_mem-k100-query98,0.001735,5543,6002
gpu_eucdist_opt-k100-query98,0.001224,5021,5505
gpu_bloom_pq-k100-query98,0.038163,6756,7207
gpu_bloom_smmh-k100-query98,0.010510,4061,5291
cpu-k100-query99,0.037778,212145,0
gpu_non_opt-k100-query99,0.001111,7844,8578
gpu_shared_mem-k100-query99,0.000707,6396,6921
gpu_eucdist_opt-k100-query99,0.001111,6200,6809
gpu_bloom_pq-k100-query99,0.037879,7759,8401
gpu_bloom_smmh-k100-query99,0.014646,4442,5756
cpu-k100-query100,0.037400,215985,0
gpu_non_opt-k100-query100,0.000700,7961,8624
gpu_shared_mem-k100-query100,0.001600,6324,6900
gpu_eucdist_opt-k100-query100,0.000700,5731,6252
gpu_bloom_pq-k100-query100,0.037400,7310,7844
gpu_bloom_smmh-k100-query100,0.012500,4114,5435
