save_name,avg_recall,search_duration,total_duration
cpu-k100-query21,0.054762,42605,0
gpu_non_opt-k100-query21,0.007619,6200,6673
gpu_shared_mem-k100-query21,0.007143,5153,5548
gpu_eucdist_opt-k100-query21,0.007143,3208,3665
gpu_bloom_pq-k100-query21,0.054762,3908,4327
gpu_bloom_smmh-k100-query21,0.001905,3799,4367
cpu-k100-query22,0.054091,43094,0
gpu_non_opt-k100-query22,0.006818,6143,6623
gpu_shared_mem-k100-query22,0.006818,5412,5866
gpu_eucdist_opt-k100-query22,0.006364,3539,4020
gpu_bloom_pq-k100-query22,0.054091,3982,4426
gpu_bloom_smmh-k100-query22,0.001818,3384,3974
cpu-k100-query23,0.053043,47235,0
gpu_non_opt-k100-query23,0.006522,6450,6967
gpu_shared_mem-k100-query23,0.006522,5245,5652
gpu_eucdist_opt-k100-query23,0.006957,3475,4162
gpu_bloom_pq-k100-query23,0.053043,3835,4262
gpu_bloom_smmh-k100-query23,0.001304,3562,4142
cpu-k100-query24,0.052083,48245,0
gpu_non_opt-k100-query24,0.005833,6148,6661
gpu_shared_mem-k100-query24,0.005417,5414,5843
gpu_eucdist_opt-k100-query24,0.005833,3456,3863
gpu_bloom_pq-k100-query24,0.052083,3702,4093
gpu_bloom_smmh-k100-query24,0.001250,3249,3854
cpu-k100-query25,0.052400,51002,0
gpu_non_opt-k100-query25,0.006400,6025,6514
gpu_shared_mem-k100-query25,0.006400,5309,5727
gpu_eucdist_opt-k100-query25,0.006400,3412,3849
gpu_bloom_pq-k100-query25,0.052400,4060,4492
gpu_bloom_smmh-k100-query25,0.002400,3166,3786
cpu-k100-query26,0.052308,53275,0
gpu_non_opt-k100-query26,0.006154,6480,7164
gpu_shared_mem-k100-query26,0.006154,5334,5792
gpu_eucdist_opt-k100-query26,0.006538,3199,3586
gpu_bloom_pq-k100-query26,0.052308,3650,4027
gpu_bloom_smmh-k100-query26,0.001538,3621,4219
cpu-k100-query27,0.052963,56774,0
gpu_non_opt-k100-query27,0.007407,6031,6533
gpu_shared_mem-k100-query27,0.007407,5356,5812
gpu_eucdist_opt-k100-query27,0.007778,3309,3740
gpu_bloom_pq-k100-query27,0.052963,3909,4324
gpu_bloom_smmh-k100-query27,0.002593,3067,3670
cpu-k100-query28,0.053214,57995,0
gpu_non_opt-k100-query28,0.007857,6085,6629
gpu_shared_mem-k100-query28,0.008214,5292,5721
gpu_eucdist_opt-k100-query28,0.008571,3217,3614
gpu_bloom_pq-k100-query28,0.053214,3721,4146
gpu_bloom_smmh-k100-query28,0.002143,3906,4523
cpu-k100-query29,0.053103,59022,0
gpu_non_opt-k100-query29,0.007586,6506,7041
gpu_shared_mem-k100-query29,0.007931,5359,5836
gpu_eucdist_opt-k100-query29,0.007241,3512,3972
gpu_bloom_pq-k100-query29,0.053103,3854,4319
gpu_bloom_smmh-k100-query29,0.001724,3517,4139
cpu-k100-query30,0.053333,63188,0
gpu_non_opt-k100-query30,0.007667,6438,7020
gpu_shared_mem-k100-query30,0.008000,5512,5963
gpu_eucdist_opt-k100-query30,0.008000,3395,3825
gpu_bloom_pq-k100-query30,0.053333,3825,4232
gpu_bloom_smmh-k100-query30,0.002000,3797,4530
cpu-k100-query31,0.051613,64743,0
gpu_non_opt-k100-query31,0.005484,6709,7249
gpu_shared_mem-k100-query31,0.005484,5412,5857
gpu_eucdist_opt-k100-query31,0.005484,3440,3844
gpu_bloom_pq-k100-query31,0.051613,3794,4208
gpu_bloom_smmh-k100-query31,0.000000,2981,3646
cpu-k100-query32,0.050625,66320,0
gpu_non_opt-k100-query32,0.004062,6393,6918
gpu_shared_mem-k100-query32,0.004062,5334,5794
